exchange_rates,dates
2.3915,2002-01-02
2.4034,2002-01-03
2.3895,2002-01-04
2.3726,2002-01-07
2.3813,2002-01-08
2.3951,2002-01-09
2.3863,2002-01-10
2.4447,2002-01-11
2.4241,2002-01-14
2.4321,2002-01-15
2.448,2002-01-16
2.4769,2002-01-17
2.5095,2002-01-18
2.4916,2002-01-21
2.4781,2002-01-22
2.4727,2002-01-23
2.4712,2002-01-24
2.4797,2002-01-25
2.4376,2002-01-28
2.4331,2002-02-01
2.4571,2002-02-04
2.4686,2002-02-05
2.4751,2002-02-06
2.5114,2002-02-07
2.5056,2002-02-08
2.476,2002-02-11
2.4793,2002-02-12
2.4647,2002-02-13
2.469,2002-02-14
2.4561,2002-02-15
2.444,2002-02-18
2.4335,2002-02-19
2.4631,2002-02-20
2.4551,2002-02-21
2.4528,2002-02-22
2.4674,2002-02-25
2.4698,2002-02-26
2.4568,2002-02-27
2.466,2002-02-28
2.4907,2002-03-01
2.4494,2002-03-04
2.4532,2002-03-05
2.4458,2002-03-06
2.4674,2002-03-07
2.4858,2002-03-08
2.4638,2002-03-11
2.4613,2002-03-12
2.4781,2002-03-13
2.4919,2002-03-14
2.4838,2002-03-15
2.4737,2002-03-18
2.468,2002-03-19
2.4721,2002-03-20
2.4776,2002-03-21
2.4743,2002-03-22
2.4784,2002-03-25
2.481,2002-03-26
2.4605,2002-03-27
2.4486,2002-03-28
2.4685,2002-04-02
2.4595,2002-04-03
2.4626,2002-04-04
2.4561,2002-04-05
2.4476,2002-04-08
2.4477,2002-04-09
2.4546,2002-04-10
2.4497,2002-04-11
2.4394,2002-04-12
2.4399,2002-04-15
2.4331,2002-04-16
2.4464,2002-04-17
2.4469,2002-04-18
2.4461,2002-04-19
2.4487,2002-04-22
2.4391,2002-04-23
2.4523,2002-04-24
2.4645,2002-04-25
2.4654,2002-04-26
2.476,2002-05-02
2.4995,2002-05-06
2.4932,2002-05-07
2.4914,2002-05-08
2.4992,2002-05-09
2.5115,2002-05-10
2.5263,2002-05-13
2.5581,2002-05-14
2.5206,2002-05-15
2.5674,2002-05-16
2.5855,2002-05-17
2.5993,2002-05-20
2.5873,2002-05-21
2.6062,2002-05-22
2.6071,2002-05-23
2.578,2002-05-24
2.5724,2002-05-27
2.5717,2002-05-28
2.5577,2002-06-03
2.585,2002-06-04
2.564,2002-06-05
2.5609,2002-06-06
2.5727,2002-06-07
2.5808,2002-06-10
2.5872,2002-06-11
2.5878,2002-06-12
2.5652,2002-06-13
2.5767,2002-06-14
2.5845,2002-06-17
2.5964,2002-06-18
2.5995,2002-06-19
2.6302,2002-06-20
2.6414,2002-06-21
2.6789,2002-06-24
2.6607,2002-06-25
2.6924,2002-06-26
2.7122,2002-06-27
2.7226,2002-06-28
2.7352,2002-07-01
2.6782,2002-07-02
2.7565,2002-07-03
2.7387,2002-07-04
2.7643,2002-07-05
2.7788,2002-07-08
2.8418,2002-07-09
2.8161,2002-07-10
2.8043,2002-07-11
2.8141,2002-07-12
2.8267,2002-07-15
