exchange_rates,dates
0.1202,2003-01-07
0.1205,2003-01-08
0.1201,2003-01-09
0.1201,2003-01-10
0.1197,2003-01-13
0.1196,2003-01-14
0.1199,2003-01-15
0.1192,2003-01-16
0.1197,2003-01-17
0.1198,2003-01-20
0.1199,2003-01-21
0.1215,2003-01-22
0.1239,2003-01-23
0.1216,2003-01-24
0.121,2003-01-27
0.1211,2003-01-28
0.1203,2003-02-03
0.1207,2003-02-04
0.1201,2003-02-05
0.1212,2003-02-06
0.1211,2003-02-07
0.1213,2003-02-10
0.1219,2003-02-11
0.1216,2003-02-12
0.1218,2003-02-13
0.1218,2003-02-14
0.1227,2003-02-17
0.1224,2003-02-18
0.1225,2003-02-19
0.1233,2003-02-20
0.1228,2003-02-21
0.1233,2003-02-24
0.1229,2003-02-25
0.1229,2003-02-26
0.1231,2003-02-27
0.1239,2003-02-28
0.1254,2003-03-03
0.125,2003-03-04
0.1244,2003-03-05
0.1238,2003-03-06
0.1235,2003-03-07
0.1247,2003-03-10
0.1255,2003-03-11
0.1262,2003-03-12
0.1283,2003-03-13
0.1274,2003-03-14
0.1283,2003-03-17
0.1295,2003-03-18
0.1297,2003-03-19
0.1295,2003-03-20
0.1297,2003-03-21
0.1298,2003-03-24
0.1294,2003-03-25
0.1294,2003-03-26
0.1293,2003-03-27
0.1299,2003-03-28
0.1305,2003-04-01
0.1302,2003-04-02
0.1298,2003-04-03
0.1301,2003-04-04
0.1307,2003-04-07
0.1296,2003-04-08
0.1277,2003-04-09
0.1264,2003-04-10
0.1269,2003-04-11
0.1264,2003-04-14
0.1266,2003-04-15
0.127,2003-04-16
0.1256,2003-04-17
0.1255,2003-04-18
0.1255,2003-04-22
0.1251,2003-04-23
0.1254,2003-04-24
0.1251,2003-04-25
0.1247,2003-04-28
0.1221,2003-05-02
0.1217,2003-05-05
0.1208,2003-05-06
0.1218,2003-05-07
0.1217,2003-05-08
0.1213,2003-05-09
0.1204,2003-05-12
0.1213,2003-05-13
0.1212,2003-05-14
0.1217,2003-05-15
0.1222,2003-05-16
0.1201,2003-05-19
0.1206,2003-05-20
0.121,2003-05-21
0.1204,2003-05-22
0.1202,2003-05-23
0.1198,2003-05-26
0.1195,2003-05-27
0.1207,2003-05-28
0.1224,2003-06-02
0.122,2003-06-03
0.1233,2003-06-04
